"","external_gene_name","ensembl_gene_id","entrezgene_id","go_id","name_1006"
"2799","DDX11L1","ENSG00000223972",NA,"",""
"2800","WASH7P","ENSG00000227232",NA,"",""
"2798","MIR1302-2HG","ENSG00000243485",NA,"",""
"3244","FAM138A","ENSG00000237613",NA,"",""
"3245","OR4G4P","ENSG00000268020",NA,"",""
"3263","OR4G11P","ENSG00000240361",NA,"",""
"3264","OR4F5","ENSG00000186092",79501,"GO:0007186","G protein-coupled receptor signaling pathway"
"3500","AL627309.1","ENSG00000238009",NA,"",""
"3499","CICP27","ENSG00000233750",NA,"",""
"3755","AL627309.6","ENSG00000268903",NA,"",""
"3756","AL627309.2","ENSG00000239906",NA,"",""
"3769","AL627309.5","ENSG00000241860",NA,"",""
"196","RNU6-1100P","ENSG00000222623",NA,"",""
"3809","AL627309.4","ENSG00000241599",NA,"",""
"3855","AP006222.1","ENSG00000228463",NA,"",""
"3854","AL732372.2","ENSG00000237094",NA,"",""
"3853","AL732372.3","ENSG00000250575",NA,"",""
"3856","CICP7","ENSG00000233653",NA,"",""
"3851","WBP1LP7","ENSG00000269732",NA,"",""
"3852","AL732372.1","ENSG00000236601",NA,"",""
"3850","RPL23AP24","ENSG00000236679",NA,"",""
"4290","AC114498.1","ENSG00000235146",NA,"",""
"4293","AL669831.3","ENSG00000230021",NA,"",""
"4291","MTND1P23","ENSG00000225972",NA,"",""
"4315","MTND2P28","ENSG00000225630",NA,"",""
"4314","MTCO1P12","ENSG00000237973",NA,"",""
"4289","MTCO2P12","ENSG00000229344",NA,"",""
"4316","MTATP8P1","ENSG00000240409",NA,"",""
"4317","MTATP6P1","ENSG00000248527",NA,"",""
"4309","MTCO3P12","ENSG00000198744",NA,"",""
"4313","WBP1LP6","ENSG00000268663",NA,"",""
"4292","CICP3","ENSG00000229376",NA,"",""
"10","RNU6-1199P","ENSG00000223181",NA,"",""
"4310","AL669831.2","ENSG00000229905",NA,"",""
"4263","AL669831.1","ENSG00000228327",NA,"",""
"4312","LINC01409","ENSG00000237491",NA,"",""
"4288","AL669831.4","ENSG00000230092",NA,"",""
"4311","FAM87B","ENSG00000177757",NA,"",""
"4308","LINC00115","ENSG00000225880",NA,"",""
"4235","LINC01128","ENSG00000228794",NA,"",""
"5710","FAM41C","ENSG00000230368",NA,"",""
"5711","TUBB8P11","ENSG00000234711",NA,"",""
"5972","AL645608.6","ENSG00000272438",NA,"",""
"5973","AL645608.2","ENSG00000230699",NA,"",""
"5974","LINC02593","ENSG00000223764",NA,"",""
"26611","SAMD11","ENSG00000187634",148398,"GO:0003677","DNA binding"
"27470","NOC2L","ENSG00000188976",26155,"",""
"28427","KLHL17","ENSG00000187961",339451,"GO:0005515","protein binding"
"29020","PLEKHN1","ENSG00000187583",84069,"GO:0043065","positive regulation of apoptotic process"
"29128","PERM1","ENSG00000187642",84808,"GO:0005634","nucleus"
"29206","AL645608.7","ENSG00000272512",NA,"",""
"29742","HES4","ENSG00000188290",57801,"GO:0003677","DNA binding"
"29797","AL645608.3","ENSG00000231702",NA,"",""
"29798","AL645608.1","ENSG00000224969",NA,"",""
"29768","ISG15","ENSG00000187608",9636,"GO:0005515","protein binding"
"31430","AGRN","ENSG00000188157",375790,"GO:0005515","protein binding"
"32322","AL390719.1","ENSG00000217801",NA,"",""
"32321","AL645608.8","ENSG00000273443",NA,"",""
"32570","RNF223","ENSG00000237330",401934,"GO:0016020","membrane"
"33191","C1orf159","ENSG00000131591",54991,"GO:0016020","membrane"
"37686","LINC01342","ENSG00000223823",NA,"",""
"124","MIR200B","ENSG00000207730",NA,"GO:1903231","mRNA binding involved in posttranscriptional gene silencing"
"334","MIR200A","ENSG00000207607",NA,"GO:1903231","mRNA binding involved in posttranscriptional gene silencing"
"103","MIR429","ENSG00000198976",NA,"GO:1903231","mRNA binding involved in posttranscriptional gene silencing"
"37687","AL390719.2","ENSG00000272141",NA,"",""
"37764","TTLL10-AS1","ENSG00000205231",NA,"",""
"37713","TTLL10","ENSG00000162571",254173,"GO:0006464","cellular protein modification process"
"38067","TNFRSF18","ENSG00000186891",8784,"GO:0005887","integral component of plasma membrane"
"38189","TNFRSF4","ENSG00000186827",7293,"GO:0005515","protein binding"
"38310","SDF4","ENSG00000078808",51150,"GO:0005509","calcium ion binding"
"38331","B3GALT6","ENSG00000176022",126792,"GO:0016020","membrane"
"38353","C1QTNF12","ENSG00000184163",388581,"",""
"38367","AL162741.1","ENSG00000260179",NA,"",""
"39070","UBE2J2","ENSG00000160087",118424,"",""
"25811","LINC01786","ENSG00000230415",NA,"",""
"25812","SCNN1D","ENSG00000162572",6339,"GO:0016021","integral component of membrane"
"4363","ACAP3","ENSG00000131584",116983,"GO:0005515","protein binding"
"4466","PUSL1","ENSG00000169972",126789,"GO:0003723","RNA binding"
"3839","INTS11","ENSG00000127054",54973,"",""
"4362","AL139287.1","ENSG00000240731",NA,"",""
"8914","CPTP","ENSG00000224051",80772,"",""
"9032","TAS1R3","ENSG00000169962",83756,"GO:0007186","G protein-coupled receptor signaling pathway"
"9048","DVL1","ENSG00000107404",1855,"GO:0005515","protein binding"
"10258","MXRA8","ENSG00000162576",54587,"",""
"10427","AURKAIP1","ENSG00000175756",54998,"GO:0005634","nucleus"
"10637","NDUFB4P8","ENSG00000223663",NA,"",""
"12035","CCNL2","ENSG00000221978",81669,"",""
"12256","MRPL20-AS1","ENSG00000224870",NA,"",""
"12257","MRPL20","ENSG00000242485",55052,"GO:0003735","structural constituent of ribosome"
"12449","AL391244.2","ENSG00000272455",NA,"",""
"12450","ANKRD65","ENSG00000235098",441869,"",""
"12456","AL391244.1","ENSG00000225905",NA,"",""
"12457","TMEM88B","ENSG00000205116",643965,"GO:0016020","membrane"
"12501","LINC01770","ENSG00000225285",NA,"",""
"12502","VWA1","ENSG00000179403",64856,"",""
"12590","ATAD3C","ENSG00000215915",219293,"GO:0005524","ATP binding"
"12943","ATAD3B","ENSG00000160072",83858,"GO:0005524","ATP binding"
"13845","ATAD3A","ENSG00000197785",55210,"GO:0005524","ATP binding"
"13923","TMEM240","ENSG00000205090",339453,"GO:0016020","membrane"
"14370","SSU72","ENSG00000160075",29101,"GO:0005634","nucleus"
"14369","AL645728.1","ENSG00000215014",NA,"",""
"14788","FNDC10","ENSG00000228594",643988,"GO:0016020","membrane"
"15420","AL691432.2","ENSG00000272106",NA,"",""
"14938","MIB2","ENSG00000197530",142678,"GO:0008270","zinc ion binding"
"29531","MMP23B","ENSG00000189409",8510,"GO:0008270","zinc ion binding"
"29576","CDK11B","ENSG00000248333",984,"GO:0005524","ATP binding"
"32054","FO704657.1","ENSG00000272004",NA,"",""
"32055","SLC35E2B","ENSG00000189339",728661,"GO:0016020","membrane"
"32086","AL691432.1","ENSG00000269737",NA,"",""
"32569","MMP23A","ENSG00000215914",NA,"",""
"33045","CDK11A","ENSG00000008128",728642,"GO:0005524","ATP binding"
"33223","AL031282.1","ENSG00000227775",NA,"",""
"33224","SLC35E2A","ENSG00000215790",9906,"",""
"39030","NADK","ENSG00000008130",65220,"GO:0003951","NAD+ kinase activity"
"2077","GNB1","ENSG00000078369",2782,"GO:0005515","protein binding"
"2144","AL109917.1","ENSG00000231050",NA,"",""
"2145","CALML6","ENSG00000169885",163688,"GO:0005509","calcium ion binding"
"2176","TMEM52","ENSG00000178821",339456,"GO:0016020","membrane"
"3581","CFAP74","ENSG00000142609",85452,"",""
"3625","AL391845.2","ENSG00000233542",NA,"",""
"3956","GABRD","ENSG00000187730",2563,"GO:0016021","integral component of membrane"
"4015","AL391845.1","ENSG00000226969",NA,"",""
"26965","PRKCZ","ENSG00000067606",5590,"GO:0005524","ATP binding"
"27273","AL590822.2","ENSG00000271806",NA,"",""
"26963","PRKCZ-AS1","ENSG00000182873",NA,"",""
"26923","FAAP20","ENSG00000162585",199990,"",""
"27274","AL590822.1","ENSG00000234396",NA,"",""
"28053","SKI","ENSG00000157933",6497,"GO:0006351","transcription, DNA-templated"
"28139","MORN1","ENSG00000116151",79906,"",""
"28141","AL589739.1","ENSG00000272161",NA,"",""
"28140","AL513477.1","ENSG00000269896",NA,"",""
"28142","AL513477.2","ENSG00000272420",NA,"",""
"28598","RER1","ENSG00000157916",11079,"GO:0016021","integral component of membrane"
"28649","PEX10","ENSG00000157911",5192,"GO:0016020","membrane"
"30159","PLCH2","ENSG00000149527",9651,"GO:0035556","intracellular signal transduction"
"30227","AL139246.1","ENSG00000224387",NA,"",""
"30158","AL139246.4","ENSG00000229393",NA,"",""
"30494","PANK4","ENSG00000157881",55229,"GO:0005524","ATP binding"
"31002","HES5","ENSG00000197921",388585,"GO:0003677","DNA binding"
"31082","AL139246.5","ENSG00000272449",NA,"",""
"31084","TNFRSF14-AS1","ENSG00000238164",NA,"",""
"31114","TNFRSF14","ENSG00000157873",8764,"GO:0005515","protein binding"
"32134","AL139246.2","ENSG00000225931",NA,"",""
"32135","AL139246.3","ENSG00000228037",NA,"",""
"32304","PRXL2B","ENSG00000157870",127281,"",""
"32485","MMEL1","ENSG00000142606",79258,"GO:0006508","proteolysis"
"32544","TTC34","ENSG00000215912",100287898,"GO:0005515","protein binding"
"33231","ACTRT2","ENSG00000169717",140625,"GO:0005737","cytoplasm"
"33233","PRDM16-DT","ENSG00000177133",NA,"",""
"3770","PRDM16","ENSG00000142611",63976,"GO:0005515","protein binding"
"3813","AL008733.1","ENSG00000226286",NA,"",""
"3812","AL590438.1","ENSG00000272235",NA,"",""
"4177","ARHGEF16","ENSG00000130762",27237,"GO:0005515","protein binding"
"4371","AL512413.1","ENSG00000272088",NA,"",""
"5116","MEGF6","ENSG00000162591",1953,"GO:0005509","calcium ion binding"
"5685","AL513320.1","ENSG00000238260",NA,"",""
"5745","TPRG1L","ENSG00000158109",127262,"GO:0016020","membrane"
"6828","WRAP73","ENSG00000116213",49856,"GO:0005515","protein binding"
"6217","TP73","ENSG00000078900",7161,"GO:0003677","DNA binding"
"6215","AL136528.1","ENSG00000227589",NA,"",""
"6216","AL136528.2","ENSG00000235131",NA,"",""
"6735","TP73-AS1","ENSG00000227372",NA,"",""
"6862","CCDC27","ENSG00000162592",148870,"",""
"9712","SMIM1","ENSG00000235169",388588,"GO:0016020","membrane"
"10017","LRRC47","ENSG00000130764",57470,"GO:0005515","protein binding"
"106","RN7SL574P","ENSG00000266075",NA,"",""
"10023","AL365330.1","ENSG00000272153",NA,"",""
"11243","CEP104","ENSG00000116198",9731,"GO:0005737","cytoplasm"
"12407","DFFB","ENSG00000169598",1677,"GO:0005634","nucleus"
"12533","C1orf174","ENSG00000198912",339448,"",""
"12539","LINC01134","ENSG00000236423",NA,"",""
"12578","LINC01346","ENSG00000233304",NA,"",""
"12577","LINC01345","ENSG00000226374",NA,"",""
"12597","EEF1DP6","ENSG00000229280",NA,"",""
"12598","LINC01777","ENSG00000235054",NA,"",""
"12599","Z98747.1","ENSG00000227169",NA,"",""
"12617","LINC01646","ENSG00000232596",NA,"",""
"12796","AJAP1","ENSG00000196581",55966,"GO:0016020","membrane"
"28447","NPHP4","ENSG00000131697",261734,"",""
"26800","KCNAB2","ENSG00000069424",8514,"GO:0016021","integral component of membrane"
"34645","CHD5","ENSG00000116254",26038,"GO:0005524","ATP binding"
"34522","RPL22","ENSG00000116251",6146,"GO:0003735","structural constituent of ribosome"
"34896","AL031847.1","ENSG00000226944",NA,"",""
"34576","RNF207","ENSG00000158286",388591,"",""
"34897","ICMT","ENSG00000116237",23463,"GO:0016021","integral component of membrane"
"34895","LINC00337","ENSG00000225077",NA,"",""
"35373","HES3","ENSG00000173673",390992,"GO:0046983","protein dimerization activity"
"35396","GPR153","ENSG00000158292",387509,"GO:0007186","G protein-coupled receptor signaling pathway"
"36651","ACOT7","ENSG00000097021",11332,"GO:0016790","thiolester hydrolase activity"
"37669","HES2","ENSG00000069812",54626,"GO:0046983","protein dimerization activity"
"37857","ESPN","ENSG00000187017",83715,"GO:0005515","protein binding"
"37934","AL031848.1","ENSG00000231868",NA,"",""
"38154","TNFRSF25","ENSG00000215788",8718,"GO:0005515","protein binding"
"37936","PLEKHG5","ENSG00000171680",57449,"",""
"5603","NOL9","ENSG00000162408",79707,"GO:0003723","RNA binding"
"350","RNU6-731P","ENSG00000253022",NA,"",""
"5602","AL591866.1","ENSG00000229519",NA,"",""
"6602","TAS1R1","ENSG00000173662",80835,"GO:0007186","G protein-coupled receptor signaling pathway"
"9457","ZBTB48","ENSG00000204859",3104,"GO:0005515","protein binding"
"9824","KLHL21","ENSG00000162413",9903,"GO:0005515","protein binding"
"9794","PHF13","ENSG00000116273",148479,"GO:0005634","nucleus"
"9932","THAP3","ENSG00000041988",90326,"GO:0003676","nucleic acid binding"
"9941","DNAJC11","ENSG00000007923",55735,"",""
"10749","LINC01672","ENSG00000228750",NA,"",""
"11170","CAMTA1-DT","ENSG00000237436",NA,"",""
"11808","CAMTA1","ENSG00000171735",23261,"GO:0003677","DNA binding"
"11804","AL590128.1","ENSG00000227950",NA,"",""
"11806","AL512330.1","ENSG00000237365",NA,"",""
"11824","CAMTA1-IT1","ENSG00000237402",NA,"",""
"11803","CAMTA1-AS2","ENSG00000237728",NA,"",""
"11826","CAMTA1-AS1","ENSG00000225126",NA,"",""
"11825","AL359881.3","ENSG00000270171",NA,"",""
"11807","AL359881.2","ENSG00000270035",NA,"",""
"11805","AL359881.1","ENSG00000269978",NA,"",""
"12121","VAMP3","ENSG00000049245",9341,"GO:0016021","integral component of membrane"
"12169","Z98884.2","ENSG00000269925",NA,"",""
"13230","PER3","ENSG00000049246",8863,"GO:0005515","protein binding"
"13224","Z98884.1","ENSG00000236266",NA,"",""
"13187","UTS2","ENSG00000049247",10911,"",""
"13857","TNFRSF9","ENSG00000049249",3604,"GO:0005515","protein binding"
"13868","AL009183.1","ENSG00000270330",NA,"",""
"15632","PARK7","ENSG00000116288",11315,"GO:0048471","perinuclear region of cytoplasm"
"218","AL034417.1","ENSG00000200344",NA,"",""
"16045","ERRFI1","ENSG00000116285",54206,"",""
"16136","AL034417.3","ENSG00000238290",NA,"",""
"16137","AL034417.2","ENSG00000232848",NA,"",""
"16271","AL358876.1","ENSG00000229305",NA,"",""
"222","RNU1-7P","ENSG00000200975",NA,"",""
"16272","LINC01714","ENSG00000227634",NA,"",""
"16273","AL358876.2","ENSG00000233645",NA,"",""
"79","RNU6-991P","ENSG00000251977",NA,"",""
"16279","SLC45A1","ENSG00000162426",50651,"GO:0055085","transmembrane transport"
"205","AL356072.1","ENSG00000252254",NA,"",""
"16870","RERE","ENSG00000142599",473,"GO:0003677","DNA binding"
"16866","RERE-AS1","ENSG00000232912",NA,"",""
"88","AL096855.1","ENSG00000221083",NA,"",""
"16869","AL096855.2","ENSG00000270282",NA,"",""
"17140","RPL7P11","ENSG00000234619",NA,"",""
"16867","RPL7P7","ENSG00000224315",NA,"",""
"16864","AL357552.2","ENSG00000226545",NA,"",""
"16868","AL357552.3","ENSG00000228423",NA,"",""
"16865","RPL23AP19","ENSG00000229716",NA,"",""
"18730","ENO1","ENSG00000074800",2023,"GO:0006096","glycolytic process"
"18729","ENO1-AS1","ENSG00000230679",NA,"",""
"353","RNU6-304P","ENSG00000201725",NA,"",""
"20639","HMGN2P17","ENSG00000238249",NA,"",""
"20640","AL139415.1","ENSG00000232208",NA,"",""
"20641","AL139415.2","ENSG00000232663",NA,"",""
"20643","CA6","ENSG00000131686",765,"GO:0008270","zinc ion binding"
"25","RN7SL451P","ENSG00000265141",NA,"",""
"20731","SLC2A7","ENSG00000197241",155184,"GO:0016021","integral component of membrane"
"20942","SLC2A5","ENSG00000142583",6518,"GO:0016021","integral component of membrane"
"21324","GPR157","ENSG00000180758",80045,"GO:0007186","G protein-coupled receptor signaling pathway"
"21341","MIR34AHG","ENSG00000228526",NA,"",""
"21342","LNCTAM34A","ENSG00000234546",NA,"",""
"21614","H6PD","ENSG00000049239",9563,"GO:0005975","carbohydrate metabolic process"
"21634","SPSB1","ENSG00000171621",80176,"GO:0005515","protein binding"
"22059","AL928921.1","ENSG00000235263",NA,"",""
"22335","SLC25A33","ENSG00000171612",84275,"GO:0016020","membrane"
"22334","AL954705.1","ENSG00000231181",NA,"",""
"22617","TMEM201","ENSG00000188807",199953,"GO:0005639","integral component of nuclear inner membrane"
"2692","PIK3CD","ENSG00000171608",5293,"GO:0046854","phosphatidylinositol phosphorylation"
"3120","PIK3CD-AS1","ENSG00000179840",NA,"",""
"2960","AL691449.1","ENSG00000233268",NA,"",""
"2961","PIK3CD-AS2","ENSG00000231789",NA,"",""
"2962","CLSTN1","ENSG00000171603",22883,"GO:0016020","membrane"
"5876","CTNNBIP1","ENSG00000178585",56998,"GO:0030178","negative regulation of Wnt signaling pathway"
"6720","LZIC","ENSG00000162441",84328,"GO:0008013","beta-catenin binding"
"6719","AL357140.2","ENSG00000228150",NA,"",""
"6694","NMNAT1","ENSG00000173614",64802,"GO:0003824","catalytic activity"
"198","RN7SKP269","ENSG00000202415",NA,"",""
"237","MIR5697","ENSG00000265521",NA,"",""
"7216","RBP7","ENSG00000162444",116362,"GO:0008289","lipid binding"
"8826","UBE4B","ENSG00000130939",10277,"GO:0006511","ubiquitin-dependent protein catabolic process"
"9124","AL590639.1","ENSG00000224340",NA,"",""
"9125","PGAM1P11","ENSG00000233623",NA,"",""
"3","RNU6-828P","ENSG00000201746",NA,"",""
"10056","KIF1B","ENSG00000054523",23095,"GO:0005524","ATP binding"
"24059","RNU6-37P","ENSG00000199562",NA,"",""
"13519","PGD","ENSG00000142657",5226,"GO:0055114","oxidation-reduction process"
"13623","AL139424.1","ENSG00000271989",NA,"",""
"13598","CENPS","ENSG00000175279",378708,"GO:0006281","DNA repair"
"13577","CORT","ENSG00000241563",1325,"GO:0005576","extracellular region"
"13940","DFFA","ENSG00000160049",1676,"GO:0006915","apoptotic process"
"13981","PEX14","ENSG00000142655",5195,"",""
"27","RN7SL614P","ENSG00000243267",NA,"",""
"14399","CASZ1","ENSG00000130940",54897,"GO:0006355","regulation of transcription, DNA-templated"
"14398","AL139423.1","ENSG00000272078",NA,"",""
"14598","C1orf127","ENSG00000175262",148345,"",""
"14599","CFL1P6","ENSG00000215785",NA,"",""
"18457","TARDBP","ENSG00000120948",23435,"GO:0003676","nucleic acid binding"
"18405","MASP2","ENSG00000009724",10747,"GO:0006508","proteolysis"
"18442","AL109811.2","ENSG00000271895",NA,"",""
"21227","SRM","ENSG00000116649",6723,"GO:0003824","catalytic activity"
"27701","EXOSC10","ENSG00000171824",5394,"GO:0006396","RNA processing"
"27762","AL109811.1","ENSG00000226849",NA,"",""
"27763","EXOSC10-AS1","ENSG00000230337",NA,"",""
"29838","MTOR","ENSG00000198793",2475,"GO:0005515","protein binding"
"30066","MTOR-AS1","ENSG00000225602",NA,"",""
"76","RNU6-537P","ENSG00000253086",NA,"",""
"29825","ANGPTL7","ENSG00000171819",10218,"GO:0005515","protein binding"
"58","RNU6-291P","ENSG00000207451",NA,"",""
"29837","RPL39P6","ENSG00000238173",NA,"",""
"31543","UBIAD1","ENSG00000120942",29914,"GO:0016021","integral component of membrane"
"31542","UBE2V2P3","ENSG00000238199",NA,"",""
"31586","MTCYBP45","ENSG00000224338",NA,"",""
"31792","DISP3","ENSG00000204624",57540,"",""
"31881","LINC01647","ENSG00000235643",NA,"",""
"31884","FBXO2","ENSG00000116661",26232,"",""
"31990","FBXO44","ENSG00000132879",93611,"GO:0005515","protein binding"
"32787","FBXO6","ENSG00000116663",26270,"GO:0005515","protein binding"
"33732","MAD2L2","ENSG00000116670",10459,"GO:0043433","negative regulation of DNA-binding transcription factor activity"
"34511","DRAXIN","ENSG00000162490",374946,"GO:0005576","extracellular region"
"35704","AGTRAP","ENSG00000177674",57085,"GO:0016020","membrane"
"36389","C1orf167","ENSG00000215910",284498,"",""
"36207","C1orf167-AS1","ENSG00000177553",NA,"",""
"36267","MTHFR","ENSG00000177000",4524,"GO:0055114","oxidation-reduction process"
"36208","CLCN6","ENSG00000011021",1185,"GO:0016020","membrane"
"36162","NPPA","ENSG00000175206",4878,"GO:0005576","extracellular region"
"27560","NPPB","ENSG00000120937",4879,"GO:0005576","extracellular region"
"27585","SBF1P2","ENSG00000224904",NA,"",""
"355","RNU5E-1","ENSG00000199347",NA,"",""
"112","RNU5E-4P","ENSG00000201801",NA,"",""
"27624","KIAA2013","ENSG00000116685",90231,"GO:0016020","membrane"
"29001","PLOD1","ENSG00000083444",5351,"",""
"30448","MFN2","ENSG00000116688",9927,"",""
"30996","MIIP","ENSG00000116691",60672,"",""
"370","AL096840.1","ENSG00000202461",NA,"",""
"31415","TNFRSF8","ENSG00000120949",943,"GO:0005515","protein binding"
"31414","RPL23AP89","ENSG00000227875",NA,"",""
"31741","TNFRSF1B","ENSG00000028137",7133,"GO:0005515","protein binding"
"31815","RPL10P17","ENSG00000225196",NA,"",""
"35334","VPS13D","ENSG00000048707",55187,"GO:0005515","protein binding"
"35","SNORA59A","ENSG00000239149",NA,"",""
"36111","LINC02766","ENSG00000229484",NA,"",""
"36137","DHRS3","ENSG00000162496",9249,"GO:0042572","retinol metabolic process"
"100","RNU6ATAC18P","ENSG00000221340",NA,"",""
"36570","AC254633.1","ENSG00000272482",NA,"",""
"36571","AADACL4","ENSG00000204518",343066,"GO:0016021","integral component of membrane"
"36577","AC244670.1","ENSG00000226166",NA,"",""
"36578","AADACL3","ENSG00000188984",126767,"",""
"36585","C1orf158","ENSG00000157330",93190,"",""
"36586","PRAMEF12","ENSG00000116726",390999,"GO:0043066","negative regulation of apoptotic process"
"36591","PRAMEF1","ENSG00000116721",65121,"GO:0043066","negative regulation of apoptotic process"
"36597","LINC01784","ENSG00000228338",NA,"",""
"36609","PRAMEF30P","ENSG00000231103",NA,"",""
"36610","HNRNPCL1","ENSG00000179172",343069,"GO:0003676","nucleic acid binding"
"36613","PRAMEF2","ENSG00000120952",65122,"GO:0043066","negative regulation of apoptotic process"
"36623","PRAMEF4","ENSG00000243073",400735,"GO:0043066","negative regulation of apoptotic process"
"36646","PRAMEF10","ENSG00000187545",343071,"GO:0043066","negative regulation of apoptotic process"
"36618","PRAMEF7","ENSG00000204510",441871,"GO:0043066","negative regulation of apoptotic process"
"274","RNU6-1072P","ENSG00000207434",NA,"",""
"36644","PRAMEF29P","ENSG00000234064",NA,"",""
"37021","PRAMEF36P","ENSG00000229978",NA,"",""
"37351","HNRNPCL4","ENSG00000179412",101060301,"GO:0003676","nucleic acid binding"
"37422","PRAMEF17","ENSG00000204479",391004,"GO:0043066","negative regulation of apoptotic process"
"37514","LRRC38","ENSG00000162494",126755,"GO:0005515","protein binding"
"38660","PDPN","ENSG00000162493",10630,"GO:0005737","cytoplasm"
"116","RNA5SP41","ENSG00000222952",NA,"",""
"26610","AL359771.1","ENSG00000237445",NA,"",""
"26759","PRDM2","ENSG00000116731",7799,"GO:0005515","protein binding"
"27117","AL357873.1","ENSG00000231606",NA,"",""
"27107","KAZN-AS1","ENSG00000234593",NA,"",""
"27119","KAZN","ENSG00000189337",23254,"",""
"27118","TBCAP2","ENSG00000235829",NA,"",""
"27116","TMEM51-AS1","ENSG00000175147",NA,"",""
"27109","TMEM51","ENSG00000171729",55092,"GO:0016020","membrane"
"27149","C1orf195","ENSG00000204464",NA,"",""
"27108","MFFP1","ENSG00000215720",NA,"",""
"30332","FHAD1","ENSG00000142621",114827,"",""
"30353","FHAD1-AS1","ENSG00000233485",NA,"",""
"30354","AL031283.2","ENSG00000236045",NA,"",""
"30873","AL031283.1","ENSG00000228140",NA,"",""
"30891","EFHD2","ENSG00000142634",79180,"GO:0005509","calcium ion binding"
"31144","CTRC","ENSG00000162438",11330,"GO:0006508","proteolysis"
"31595","CELA2A","ENSG00000142615",63036,"",""
"31587","CELA2B","ENSG00000215704",51032,"",""
"31637","CASP9","ENSG00000132906",842,"GO:0042981","regulation of apoptotic process"
"35816","DNAJC16","ENSG00000116138",23341,"GO:0045454","cell redox homeostasis"
"101","SCARNA21B","ENSG00000251866",NA,"",""
"35815","AL121992.3","ENSG00000272510",NA,"",""
"35891","AGMAT","ENSG00000116771",79814,"GO:0046872","metal ion binding"
"35901","AL121992.1","ENSG00000237301",NA,"",""
"36542","CHCHD2P6","ENSG00000235084",NA,"",""
"36543","CD24P1","ENSG00000236500",NA,"",""
"36544","DDI2","ENSG00000197312",84301,"GO:0005515","protein binding"
"36735","AL121992.2","ENSG00000271742",NA,"",""
"37088","PLEKHM2","ENSG00000116786",23207,"GO:0005737","cytoplasm"
"37081","AL450998.3","ENSG00000237938",NA,"",""
"37082","SLC25A34","ENSG00000162461",284723,"GO:0016020","membrane"
"37214","TMEM82","ENSG00000162460",388595,"GO:0016020","membrane"
"37217","SLC25A34-AS1","ENSG00000224459",NA,"",""
"38082","FBLIM1","ENSG00000162458",54751,"",""
"38242","RPL12P14","ENSG00000224321",NA,"",""
"38243","UQCRHL","ENSG00000233954",440567,"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c"
"38252","AL450998.1","ENSG00000178715",NA,"",""
"38280","AL450998.2","ENSG00000179743",NA,"",""
"38253","SPEN","ENSG00000065526",23013,"GO:0003676","nucleic acid binding"
"38279","AL034555.1","ENSG00000270620",NA,"",""
"39046","ZBTB17","ENSG00000116809",7709,"",""
"39045","AL355994.4","ENSG00000234607",NA,"",""
"25756","TBC1D3P6","ENSG00000224966",NA,"",""
"25800","SRARP","ENSG00000183888",149563,"GO:0005634","nucleus"
"3401","HSPB7","ENSG00000173641",27129,"GO:0007507","heart development"
"3179","CLCNKA","ENSG00000186510",1187,"",""
"5082","AL355994.2","ENSG00000232456",NA,"",""
"5585","CLCNKB","ENSG00000184908",1188,"GO:0016020","membrane"
"6000","FAM131C","ENSG00000185519",348487,"GO:0005515","protein binding"
"6003","EPHA2","ENSG00000142627",1969,"GO:0016021","integral component of membrane"
"6002","AL451042.2","ENSG00000227959",NA,"",""
"6369","AL451042.1","ENSG00000224621",NA,"",""
"6370","ARHGEF19","ENSG00000142632",128272,"",""
"6985","ANO7L1","ENSG00000237276",NA,"",""
"6990","CPLANE2","ENSG00000132881",79363,"GO:0005525","GTP binding"
"7007","MT1XP1","ENSG00000233929",NA,"",""
"7032","FBXO42","ENSG00000037637",54455,"GO:0005515","protein binding"
"7225","SZRD1","ENSG00000055070",26099,"",""
"7224","RPL22P3","ENSG00000226457",NA,"",""
"7231","SPATA21","ENSG00000187144",374955,"",""
"8314","NECAP2","ENSG00000157191",55707,"GO:0016020","membrane"
"8619","LINC01772","ENSG00000226029",NA,"",""
"8620","CROCCP3","ENSG00000080947",NA,"",""
"273","RNU1-1","ENSG00000206652",NA,"",""
"9973","AL137802.2","ENSG00000261135",NA,"",""
"9974","AL137802.1","ENSG00000224174",NA,"",""
"9978","LINC01783","ENSG00000233421",NA,"",""
"314","AC213203.1","ENSG00000268674",NA,"",""
"10012","AL355149.1","ENSG00000225710",NA,"",""
"10021","NBPF1","ENSG00000219481",55672,"GO:0005737","cytoplasm"
"10024","AL137798.1","ENSG00000271732",NA,"",""
"10150","CROCCP2","ENSG00000215908",NA,"",""
"10160","MST1P2","ENSG00000186301",NA,"",""
"10206","EIF1AXP1","ENSG00000236698",NA,"",""
"10205","ESPNP","ENSG00000268869",NA,"",""
"10994","CROCC","ENSG00000058453",9696,"",""
"10887","CROCCP4","ENSG00000227684",NA,"",""
"11135","MST1L","ENSG00000186715",11223,"",""
"11147","BX284668.1","ENSG00000223643",NA,"",""
"11134","BX284668.3","ENSG00000230239",NA,"",""
"10857","BX284668.2","ENSG00000228549",NA,"",""
"10885","BX284668.5","ENSG00000238142",NA,"",""
"11146","BX284668.4","ENSG00000235241",NA,"",""
"209","RNU1-2","ENSG00000207005",NA,"",""
"10884","BX284668.6","ENSG00000272426",NA,"",""
